Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
5116 S Farrar St,Wires Down,11/29/2014 10:47:00 PM +0000,47.555563,-122.269542,"(47.555563, -122.269542)",F140130195
1244 Ne 102nd St,Wires Down,11/29/2014 09:06:00 PM +0000,47.702174,-122.314608,"(47.702174, -122.314608)",F140130148
10051 Dibble Av Nw,Wires Down,11/29/2014 09:03:00 PM +0000,47.701883,-122.367398,"(47.701883, -122.367398)",F140130147
12223 4th Av Nw,Wires Down,11/29/2014 08:49:00 PM +0000,47.717959,-122.362288,"(47.717959, -122.362288)",F140130140
12732 3rd Av Nw,Wires Down,11/29/2014 08:15:00 PM +0000,47.721638,-122.360954,"(47.721638, -122.360954)",F140130120
2026 Yale Av E,Wires Down,11/26/2014 04:40:00 AM +0000,47.636953,-122.327116,"(47.636953, -122.327116)",F140128937
7343 16th Av Ne,Wires Down,11/14/2014 04:03:00 PM +0000,47.681607,-122.310978,"(47.681607, -122.310978)",F140124576
2724 Warren Av N,Wires Down,11/12/2014 04:05:00 PM +0000,47.644795,-122.354509,"(47.644795, -122.354509)",F140123799
4829 Terrace Dr Ne,Wires Down,11/09/2014 04:38:00 PM +0000,47.663639,-122.285413,"(47.663639, -122.285413)",F140122641
8th Av Ne / Ne 68th St,Wires Down,11/06/2014 07:54:00 PM +0000,47.678039,-122.320078,"(47.678039, -122.320078)",F140121484
909 N 35th St,Wires Down,10/31/2014 10:13:00 PM +0000,47.650122,-122.347184,"(47.650122, -122.347184)",F140119129
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
25th Av Sw / Sw Brandon St,Wires Down,10/30/2014 09:12:00 PM +0000,47.553731,-122.3643,"(47.553731, -122.3643)",F140118664
25th Av Sw / Sw Brandon St,Wires Down,10/30/2014 09:12:00 PM +0000,47.553731,-122.3643,"(47.553731, -122.3643)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
26TH AV SW / SW BRANDON ST,Wires Down,10/30/2014 09:12:00 PM +0000,47.553736,-122.36558,"(47.553736, -122.36558)",F140118664
E Marion St / 12th Av,Wires Down,10/30/2014 12:57:00 PM +0000,47.610395,-122.316779,"(47.610395, -122.316779)",F140118539
E Marion St / 12th Av,Wires Down,10/30/2014 12:57:00 PM +0000,47.610395,-122.316779,"(47.610395, -122.316779)",F140118539
921 Ne Boat St,Wires Down,10/27/2014 12:54:00 AM +0000,47.653977,-122.31845,"(47.653977, -122.31845)",F140117307
S Holgate Br,Wires Down,10/26/2014 07:28:00 PM +0000,47.585711,-122.31908,"(47.585711, -122.31908)",F140117211
21st Av Sw / Sw Brandon St,Wires Down,10/26/2014 05:16:00 AM +0000,47.553713,-122.360034,"(47.553713, -122.360034)",F140116947
3743 Sw Ida St,Wires Down,10/26/2014 05:12:00 AM +0000,47.534196,-122.379862,"(47.534196, -122.379862)",F140116945
4846 51st Av Sw,Wires Down,10/26/2014 04:44:00 AM +0000,47.558684,-122.397623,"(47.558684, -122.397623)",F140116922
2608 17th Av S,Wires Down,10/26/2014 04:43:00 AM +0000,47.580215,-122.310768,"(47.580215, -122.310768)",F140116920
30th Av S / S Chicago St,Wires Down,10/26/2014 04:33:00 AM +0000,47.532395,-122.293428,"(47.532395, -122.293428)",F140116912
3556 Sw 110th St,Wires Down,10/26/2014 04:32:00 AM +0000,47.504611,-122.377022,"(47.504611, -122.377022)",F140116909
7133 34th Av Sw,Wires Down,10/26/2014 04:30:00 AM +0000,47.53891,-122.375239,"(47.53891, -122.375239)",F140116906
7516 37th Av Sw,Wires Down,10/26/2014 03:49:00 AM +0000,47.535389,-122.379284,"(47.535389, -122.379284)",F140116863
1601 4th Av N,Wires Down,10/26/2014 03:46:00 AM +0000,47.633157,-122.349564,"(47.633157, -122.349564)",F140116858
8409 36th Av Ne,Wires Down,10/26/2014 03:43:00 AM +0000,47.689574,-122.289408,"(47.689574, -122.289408)",F140116853
4407 Meridian Av N,Wires Down,10/26/2014 03:36:00 AM +0000,47.660363,-122.333741,"(47.660363, -122.333741)",F140116846
346 Nw 82nd St,Wires Down,10/26/2014 03:32:00 AM +0000,47.688388,-122.361053,"(47.688388, -122.361053)",F140116840
28th Av W / W Lynn St,Wires Down,10/26/2014 03:30:00 AM +0000,47.638842,-122.393009,"(47.638842, -122.393009)",F140116837
800 Ne 106th St,Wires Down,10/26/2014 03:19:00 AM +0000,47.705848,-122.320504,"(47.705848, -122.320504)",F140116820
20th Av E / E Jansen Ct,Wires Down,10/26/2014 03:13:00 AM +0000,47.619666,-122.306061,"(47.619666, -122.306061)",F140116807
922 20th Av E,Wires Down,10/26/2014 03:04:00 AM +0000,47.627036,-122.306051,"(47.627036, -122.306051)",F140116799
34th Av S / S Hinds St,Wires Down,10/26/2014 02:48:00 AM +0000,47.572475,-122.289911,"(47.572475, -122.289911)",F140116785
2508 31st Av W,Wires Down,10/22/2014 12:26:00 AM +0000,47.641301,-122.396983,"(47.641301, -122.396983)",F140115327
M L King Jr Way S / S Elmwood Pl,Wires Down,10/20/2014 04:19:00 PM +0000,47.592631,-122.297764,"(47.592631, -122.297764)",F140114821
Fairmount Av Sw / Sw Prince St,Wires Down,10/16/2014 07:43:00 PM +0000,47.582861,-122.381117,"(47.582861, -122.381117)",F140113366
7924 35th Av Sw,Wires Down,10/15/2014 11:37:00 PM +0000,47.531638,-122.376633,"(47.531638, -122.376633)",F140113086
816 Ne 120th St,Wires Down,10/15/2014 07:51:00 PM +0000,47.715841,-122.320531,"(47.715841, -122.320531)",F140112995
11757 9th Av Ne,Wires Down,10/15/2014 07:45:00 PM +0000,47.714362,-122.319343,"(47.714362, -122.319343)",F140112993
1005 E Spruce St,Wires Down,10/13/2014 08:27:00 PM +0000,47.603519,-122.319341,"(47.603519, -122.319341)",F140112163
1900 42nd Av Sw,Wires Down,10/08/2014 09:29:00 PM +0000,47.586732,-122.384945,"(47.586732, -122.384945)",F140110073
39th Av Sw / Sw 104th St,Wires Down,09/30/2014 11:14:00 PM +0000,47.51003,-122.38151,"(47.51003, -122.38151)",F140106879
Eastlake Av E / E Allison St,Wires Down,09/28/2014 08:34:00 PM +0000,47.648784,-122.323436,"(47.648784, -122.323436)",F140106074
N 88th St / Nesbit Av N,Wires Down,09/25/2014 02:53:00 PM +0000,47.692373,-122.343468,"(47.692373, -122.343468)",F140104525
4112 Mason Rd Ne,Wires Down,09/14/2014 02:41:00 PM +0000,47.65755,-122.302493,"(47.65755, -122.302493)",F140100247
6050 32nd Av S,Wires Down,09/10/2014 02:27:00 PM +0000,47.54766,-122.291553,"(47.54766, -122.291553)",F140098410
S Alaska St / S Columbian Way,Wires Down,08/28/2014 05:42:00 AM +0000,47.561637,-122.297283,"(47.561637, -122.297283)",F140093111
28th Av Nw / Nw Esplanade,Wires Down,08/13/2014 08:10:00 PM +0000,47.7003,-122.393493,"(47.7003, -122.393493)",F140087222
104 N 60th St,Wires Down,08/13/2014 08:49:00 AM +0000,47.672351,-122.357423,"(47.672351, -122.357423)",F140087004
28th Av Ne / Ne 75th St,Wires Down,08/08/2014 07:15:00 PM +0000,47.683048,-122.297201,"(47.683048, -122.297201)",F140084928
